jh,rq,real,predict,jdwc,xdwc,mpe
喇10-203,1984-06-01,79.5844686039423,77.48189,2.1025807865594857,0.026419486407870948,-2.6419486407870947
喇10-203,1984-07-01,74.11688152814469,77.99374,3.8768547389451555,0.052307310548042725,5.230731054804273
喇10-203,1984-08-01,66.17159886201992,78.05912,11.887521316202736,0.17964688054448294,17.964688054448295
喇10-203,1984-09-01,72.83014549888235,78.4139,5.583756783832499,0.07666820854996352,7.666820854996352
喇10-203,1984-10-01,77.87714895346475,78.2144,0.3372522916524332,0.004330568031630912,0.4330568031630912
喇10-203,1984-11-01,74.64573420036578,78.172356,3.5266214514896888,0.04724478216026989,4.724478216026989
喇10-203,1984-12-01,79.7156407234302,78.235115,1.4805256721606668,0.018572586994530765,-1.8572586994530766
喇10-203,1985-01-01,75.73675309896363,78.28954,2.5527900528918366,0.03370609312437991,3.370609312437991
喇10-203,1985-02-01,79.76977524893316,78.446075,1.3236998094800327,0.016594001993226574,-1.6594001993226575
喇10-203,1985-03-01,83.07614549888234,78.35503,4.721119253765153,0.05682881921656642,-5.682881921656642
喇10-203,1985-04-01,80.04044787644787,78.17159,1.8688551640455273,0.023348884390681217,-2.3348884390681217
喇10-203,1985-05-01,72.45120382036171,78.2175,5.766294958935163,0.07958867009625313,7.958867009625313
喇10-203,1985-06-01,76.76530908351961,78.31227,1.5469620346444515,0.020151837504638687,2.0151837504638688
喇10-203,1985-07-01,77.41908758382444,78.44007,1.020983522132596,0.013187749352214211,1.318774935221421
喇10-203,1985-08-01,78.19779191221296,78.20342,0.005630634173755311,7.200502771326868e-05,0.007200502771326868
喇10-203,1985-09-01,76.86108555171714,78.14649,1.2854064526773925,0.016723761360519524,1.6723761360519525
喇10-203,1985-10-01,76.80903312334891,78.3075,1.4984696232331203,0.01950902859077399,1.950902859077399
喇10-203,1987-01-01,75.1329449298923,78.42043,3.28748811454129,0.043755613700606245,4.375561370060624
喇10-203,1987-02-01,76.79445844340582,78.43727,1.6428126747582468,0.02139233361439652,2.139233361439652
喇10-203,1987-03-01,76.96519040845357,78.53528,1.5700879118589341,0.020399974371875025,2.0399974371875027
喇10-203,1987-04-01,77.31290062995326,78.37762,1.0647162523709568,0.013771521229905256,1.3771521229905257
喇10-203,1987-05-01,77.16090753911807,78.26144,1.1005289232842728,0.014262778372925958,1.4262778372925957
喇10-203,1987-06-01,84.76889046941679,78.778564,5.990326016291789,0.07066656155483124,-7.066656155483124
喇10-203,1987-07-01,77.96251493598862,77.97488,0.012361467819971494,0.00015855655541795847,0.015855655541795848
